id,old_msg,message,old_desc,description
accept,Accept,Chấp nhận,,
account,Account,Tài khoản,,
accountDetails,Account Details,Chi tiết tài khoản,,
accountName,Account Name,Tên tài khoản,,
addToken,Add Token,Thêm mã Token,,
address,Address,Địa chỉ,,
amount,Amount,Số lượng,,
amountPlusGas,Amount + Gas,Số lượng + Gas,,
appDescription,Ethereum Browser Extension,Tính năng Ethereum cho trình duyệt,The description of the application,Mô tả phần mềm
appName,MetaMask,MetaMask,The name of the application,Tên phần mềm
attemptingConnect,Attempting to connect to blockchain.,Đang kết nối đến blockchain.,,
available,Available,Có sẵn,,
back,Back,Quay lại,,
balance,Balance:,Số dư:,,
balanceIsInsufficientGas,Insufficient balance for current gas total,Số dư không đủ để thanh toán tổng tiền gas hiện tại,,
beta,BETA,Bản thử nghiệm Beta,,
betweenMinAndMax,must be greater than or equal to $1 and less than or equal to $2.,phải nhiều hơn hoặc bằng $1 và ít hơn hoặc bằng $2.,helper for inputting hex as decimal input,trợ giúp để nhập hex dưới dạng số thập phân
borrowDharma,Borrow With Dharma (Beta),Vay Dharma (thử nghiệm),,
buy,Buy,Mua,,
buyCoinbase,Buy on Coinbase,Mua trên Coinbase,,
buyCoinbaseExplainer,"Coinbase is the world’s most popular way to buy and sell bitcoin, ethereum, and litecoin.","Coinbase là dịch vụ ví điện tử thông dụng nhất thế giới để mua bán Bitcoin, Ethereum, và Litecoin",,
cancel,Cancel,Hủy,,
clickCopy,Click to Copy,Nhấp vào để sao chép,,
confirm,Confirm,Xác nhận,,
confirmContract,Confirm Contract,Xác nhận hợp đồng,,
confirmPassword,Confirm Password,Xác nhận mật khẩu,,
confirmTransaction,Confirm Transaction,Xác nhận giao dịch,,
continueToCoinbase,Continue to Coinbase,Tiếp tục đến Coinbase,,
contractDeployment,Contract Deployment,Triển khai hợp đồng,,
conversionProgress,Conversion in progress,Đang chuyển đổi,,
copiedButton,Copied,Đã sao chép,,
copiedClipboard,Copied to Clipboard,Đã sao chép vào bộ nhớ Clipboard,,
copiedExclamation,Copied!,Đã sao chép!,,
copy,Copy,Sao chép,,
copyButton,Copy,Sao chép,,
copyPrivateKey,This is your private key (click to copy),Đây là Khoá Bí Mật của bạn (nhấp vào để sao chép),,
copyToClipboard,Copy to clipboard,Đã sao chép vào clipboard,,
create,Create,Tạo,,
createAccount,Create Account,Tạo tài khoản,,
createDen,Create,Tạo,,
crypto,Crypto,Tiền điện tử,Exchange type (cryptocurrencies),Hình thức giao dịch (tiền điện tử)
customGas,Customize Gas,Tùy chỉnh gas,,
customRPC,Custom RPC,Tùy chỉnh RPC,,
customize,Customize,Tùy chỉnh,,
defaultNetwork,The default network for Ether transactions is Main Net.,Mạng lưới mặc định dùng cho các giao dịch Ether là Main Net (tiền ETH thật).,,
denExplainer,Your DEN is your password-encrypted storage within MetaMask.,Số DEN của bạn là mật khẩu đã được mã hóa và lưu trữ trong MetaMask,,
deposit,Deposit,Ký gửi/nạp tiền,,
depositBTC,Deposit your BTC to the address below:,Ký gửi BTC đến địa chỉ sau:,,
depositCoin,Deposit your $1 to the address below,Ký gửi $1 đến địa chỉ sau:,Tells the user what coin they have selected to deposit with shapeshift,Báo cho người dùng biết đồng tiền nào họ đã chọn để ký gửi với ShapeShift
depositEth,Deposit Eth,Ký gửi Eth,,
depositEther,Deposit Ether,Ký gửi Ether,,
depositFiat,Deposit with Fiat,"Ký gửi bằng tiền Fiat (USD, GBP, ...)",,
