id,old_msg,message,old_desc,description
accept,Accept,,,
account,Account,,,
accountDetails,Account Details,,,
accountName,Account Name,,,
addToken,Add Token,,,
address,Address,,,
amount,Amount,,,
amountPlusGas,Amount + Gas,,,
appDescription,Ethereum Browser Extension,,The description of the application,
appName,MetaMask,,The name of the application,
attemptingConnect,Attempting to connect to blockchain.,,,
available,Available,,,
back,Back,,,
balance,Balance:,,,
balanceIsInsufficientGas,Insufficient balance for current gas total,,,
beta,BETA,,,
betweenMinAndMax,must be greater than or equal to $1 and less than or equal to $2.,,helper for inputting hex as decimal input,
borrowDharma,Borrow With Dharma (Beta),,,
buy,Buy,,,
buyCoinbase,Buy on Coinbase,,,
buyCoinbaseExplainer,"Coinbase is the world’s most popular way to buy and sell bitcoin, ethereum, and litecoin.",,,
cancel,Cancel,,,
clickCopy,Click to Copy,,,
confirm,Confirm,,,
confirmContract,Confirm Contract,,,
confirmPassword,Confirm Password,,,
confirmTransaction,Confirm Transaction,,,
continueToCoinbase,Continue to Coinbase,,,
contractDeployment,Contract Deployment,,,
conversionProgress,Conversion in progress,,,
copiedButton,Copied,,,
copiedClipboard,Copied to Clipboard,,,
copiedExclamation,Copied!,,,
copy,Copy,,,
copyButton, Copy ,,,
copyPrivateKey,This is your private key (click to copy),,,
copyToClipboard,Copy to clipboard,,,
create,Create,,,
createAccount,Create Account,,,
createDen,Create,,,
crypto,Crypto,,Exchange type (cryptocurrencies),
customGas,Customize Gas,,,
customRPC,Custom RPC,,,
customize,Customize,,,
defaultNetwork,The default network for Ether transactions is Main Net.,,,
denExplainer,Your DEN is your password-encrypted storage within MetaMask.,,,
deposit,Deposit,,,
depositBTC,Deposit your BTC to the address below:,,,
depositCoin,Deposit your $1 to the address below,,Tells the user what coin they have selected to deposit with shapeshift,
depositEth,Deposit Eth,,,
depositEther,Deposit Ether,,,
depositFiat,Deposit with Fiat,,,
depositFromAccount,Deposit from another account,,,
depositShapeShift,Deposit with ShapeShift,,,
